Timestamp (UTC)	Timestamp (ms)	HR	RR	Body temperature	Battery
2016-11-09 19:32:08.866	1478719928866	145.0	564.0	35.51282	84.0
2016-11-09 19:32:09.865	1478719929865	145.0	578.0	35.51282	84.0
2016-11-09 19:32:10.858	1478719930858	144.0	642.0	35.51282	84.0
2016-11-09 19:32:11.868	1478719931868	144.0	246.0	35.51282	84.0
2016-11-09 19:32:12.865	1478719932865	149.0	564.0	35.51282	84.0
2016-11-09 19:32:13.878	1478719933878	149.0	558.0	35.51282	84.0
2016-11-09 19:32:14.876	1478719934876	134.0	558.0	35.51282	84.0
2016-11-09 19:32:15.913	1478719935913	134.0	552.0	35.51282	84.0
2016-11-09 19:32:16.876	1478719936876	108.0	580.0	35.51282	84.0
2016-11-09 19:32:17.869	1478719937869	108.0	614.0	35.51282	84.0
2016-11-09 19:32:18.901	1478719938901	97.0	364.0	35.51282	84.0
2016-11-09 19:32:19.901	1478719939901	97.0	618.0	35.51282	84.0
2016-11-09 19:32:20.881	1478719940881	105.0	614.0	35.51282	84.0
2016-11-09 19:32:21.893	1478719941893	105.0	598.0	35.51282	84.0
2016-11-09 19:32:22.9	1478719942900	99.0	594.0	35.51282	84.0
2016-11-09 19:32:23.887	1478719943887	99.0	582.0	35.51282	84.0
2016-11-09 19:32:24.887	1478719944887	102.0	564.0	35.51282	84.0
2016-11-09 19:32:25.884	1478719945884	102.0	526.0	35.51282	84.0
2016-11-09 19:32:26.888	1478719946888	123.0	504.0	35.51282	84.0
2016-11-09 19:32:27.916	1478719947916	123.0	474.0	35.51282	84.0
2016-11-09 19:32:28.91	1478719948910	144.0	260.0	35.51282	84.0
2016-11-09 19:32:29.901	1478719949901	144.0	532.0	35.51282	84.0
2016-11-09 19:32:30.899	1478719950899	180.0	598.0	35.51282	84.0
2016-11-09 19:32:31.917	1478719951917	180.0	480.0	35.51282	84.0
2016-11-09 19:32:32.919	1478719952919	155.0	1122.0	35.384617	84.0
2016-11-09 19:32:33.91	1478719953910	155.0	564.0	35.384617	84.0
2016-11-09 19:32:34.951	1478719954951	112.0	554.0	35.384617	84.0
2016-11-09 19:32:35.954	1478719955954	112.0	354.0	35.384617	84.0
2016-11-09 19:32:36.928	1478719956928	138.0	530.0	35.384617	84.0
2016-11-09 19:32:37.928	1478719957928	138.0	558.0	35.384617	84.0
2016-11-09 19:32:38.919	1478719958919	153.0	580.0	35.384617	84.0
2016-11-09 19:32:39.921	1478719959921	153.0	528.0	35.384617	84.0
2016-11-09 19:32:40.937	1478719960937	114.0	524.0	35.384617	84.0
2016-11-09 19:32:41.92	1478719961920	114.0	300.0	35.384617	84.0
2016-11-09 19:32:42.921	1478719962921	131.0	520.0	35.384617	84.0
2016-11-09 19:32:43.923	1478719963923	131.0	494.0	35.384617	84.0
2016-11-09 19:32:44.932	1478719964932	152.0	496.0	35.384617	84.0
2016-11-09 19:32:45.932	1478719965932	152.0	448.0	35.384617	84.0
2016-11-09 19:32:46.939	1478719966939	181.0	486.0	35.384617	84.0
2016-11-09 19:32:47.956	1478719967956	181.0	274.0	35.384617	84.0
2016-11-09 19:32:48.94	1478719968940	160.0	482.0	35.384617	84.0
2016-11-09 19:32:49.935	1478719969935	160.0	488.0	35.384617	84.0
2016-11-09 19:32:50.951	1478719970951	122.0	501.0	35.384617	84.0
2016-11-09 19:32:51.962	1478719971962	122.0	505.0	35.384617	84.0
2016-11-09 19:32:52.96	1478719972960	140.0	704.0	35.384617	84.0
2016-11-09 19:32:53.963	1478719973963	140.0	516.0	35.384617	84.0
2016-11-09 19:32:54.954	1478719974954	125.0	524.0	35.384617	84.0
2016-11-09 19:32:55.985	1478719975985	125.0	620.0	35.384617	84.0
2016-11-09 19:32:56.949	1478719976949	115.0	480.0	35.384617	84.0
2016-11-09 19:32:57.961	1478719977961	115.0	470.0	35.384617	84.0
2016-11-09 19:32:58.974	1478719978974	124.0	522.0	35.384617	84.0
2016-11-09 19:32:59.951	1478719979951	124.0	360.0	35.384617	84.0
2016-11-09 19:33:00.997	1478719980997	155.0	426.0	35.384617	84.0
2016-11-09 19:33:01.985	1478719981985	155.0	544.0	35.384617	84.0
2016-11-09 19:33:03.017	1478719983017	144.0	505.0	35.384617	84.0
2016-11-09 19:33:03.962	1478719983962	144.0	370.0	35.384617	84.0
2016-11-09 19:33:04.971	1478719984971	156.0	546.0	35.384617	84.0
2016-11-09 19:33:05.971	1478719985971	156.0	494.0	35.384617	84.0
2016-11-09 19:33:06.987	1478719986987	143.0	482.0	35.384617	84.0
2016-11-09 19:33:07.975	1478719987975	143.0	494.0	35.384617	84.0
2016-11-09 19:33:08.973	1478719988973	146.0	508.0	35.384617	84.0
2016-11-09 19:33:09.977	1478719989977	146.0	494.0	35.384617	84.0
2016-11-09 19:33:10.996	1478719990996	122.0	494.0	35.384617	84.0
2016-11-09 19:33:12.002	1478719992002	122.0	500.0	35.384617	84.0
2016-11-09 19:33:12.993	1478719992993	120.0	498.0	35.384617	84.0
2016-11-09 19:33:13.997	1478719993997	120.0	514.0	35.384617	84.0
2016-11-09 19:33:14.997	1478719994997	118.0	310.0	35.384617	84.0
2016-11-09 19:33:16.051	1478719996051	118.0	516.0	35.384617	84.0
2016-11-09 19:33:17.003	1478719997003	146.0	268.0	35.384617	84.0
2016-11-09 19:33:17.998	1478719997998	146.0	378.0	35.384617	84.0
2016-11-09 19:33:19.028	1478719999028	166.0	560.0	35.384617	84.0
2016-11-09 19:33:20.021	1478720000021	166.0	560.0	35.384617	84.0
2016-11-09 19:33:21.03	1478720001030	128.0	416.0	35.384617	84.0
2016-11-09 19:33:22.011	1478720002011	128.0	600.0	35.384617	84.0
2016-11-09 19:33:23.018	1478720003018	137.0	300.0	35.384617	84.0
2016-11-09 19:33:24.015	1478720004015	137.0	478.0	35.384617	84.0
2016-11-09 19:33:25.046	1478720005046	141.0	496.0	35.384617	84.0
2016-11-09 19:33:26.036	1478720006036	141.0	508.0	35.384617	84.0
2016-11-09 19:33:27.049	1478720007049	143.0	290.0	35.384617	84.0
2016-11-09 19:33:28.038	1478720008038	143.0	586.0	35.384617	84.0
2016-11-09 19:33:29.042	1478720009042	155.0	256.0	35.384617	84.0
2016-11-09 19:33:30.048	1478720010048	155.0	498.0	35.384617	84.0
2016-11-09 19:33:31.045	1478720011045	174.0	480.0	35.384617	84.0
2016-11-09 19:33:32.048	1478720012048	174.0	508.0	35.384617	84.0
2016-11-09 19:33:33.041	1478720013041	128.0	458.0	35.76923	84.0
2016-11-09 19:33:34.045	1478720014045	128.0	472.0	35.76923	84.0
2016-11-09 19:33:35.062	1478720015062	120.0	420.0	35.76923	84.0
